quick;quicker quick quicks quickest
planet;planets planet
native;native natives
clan;clan clans
horny;horniest horny
walk;walking walks walked walk
mentally;mentally
crystal;crystals crystal
proud;proudest prouder proud
bungee;bungee
rat;ratting ratted rat rats
mail;mailing mails mail mailed
someday;someday
painfully;painfully
stink;stink stinking stinks stank
monstrously;monstrously
plenty;plenty
meet;met meeting meet meets
vagina;vagina vaginas
prize;prize prizes prized prizing
subway;subways subway
find;finds finding find found
copywriter;copywriters copywriter
creepy;creepy
microbial;microbial
football;football footballs
maid;maid maids
brave;brave braved braver braves braving bravest
fit;fits fitted fit fitter fittest fitting
robb;robb
whore;whoring whored whores whore
egg;egged eggs egg
losing;losing
crazy;crazies crazier crazy craziest
snake;snake snaking snaked snakes
counting;counting countings
told;told
dummy;dummied dummies dummying dummy
dump;dumped dump dumping dumps
cart;carts carted cart carting
psychiatric;psychiatric
skinned;skinned
palm;palm palming palms palmed
piss;pissed pisses pissing piss
stalker;stalkers stalker
act;acts acted acting act
requested;requested
TRUE;truer trued true truing truest
hiring;hirings hiring
hearing;hearing hearings
waste;waste wasted wasting wastes
defeat;defeat defeated defeats defeating
jerk;jerk jerking jerked jerks
peeing;peeing
mad;madder maddest mad
single;singling single singled singles
past;pasts past
lives;lives
arm;arms arm arming armed
relation;relations relation
catalog;catalog catalogs
leg;leg legged legs legging
fucked;fucked
represent;represents representing represented represent
shut;shut shutting shuts
packing;packings packing
chest;chests chested chest chesting
temple;temple temples
cultivated;cultivated
superstar;superstars superstar
configuration;configurations configuration
loft;lofted lofts loft lofting
unlocked;unlocked
institution;institutions institution
police;policing police policed polices
bunch;bunched bunches bunching bunch
forty;forties forty
crow;crowed crow crows crowing
suck;sucked sucking sucks suck
devastated;devastated
rank;ranks ranker rank ranked ranking
mine;mining mines mine mined
paid;paid
punishment;punishment punishments
scout;scouted scout scouting scouts
roommate;roommate roommates
mystery;mystery mysteries
breast;breast breasting breasted breasts
turn;turn turned turns turning
blade;blades blade
congratulations;congratulations
seed;seeding seeded seed seeds
party;partys parties partying party partied
kissed;kissed
murderer;murderers murderer
murder;murder murdered murdering murders
hurry;hurry hurrying hurried hurries
room;rooming roomed rooms room
nobility;nobility
civilize;civilized civilize
champion;champion championed championing champions
captain;captains captaining captained captain
creep;creep creeping creeps crept
knife;knifing knifed knifes knives knife
sleep;slept sleeps sleeping sleep
